Iteration: 0 | Nb Proies: 50 | Nb Predateurs: 50
Iteration: 1 | Nb Proies: 91 | Nb Predateurs: 57
Iteration: 2 | Nb Proies: 168 | Nb Predateurs: 61
Iteration: 3 | Nb Proies: 310 | Nb Predateurs: 68
Iteration: 4 | Nb Proies: 569 | Nb Predateurs: 78
Iteration: 5 | Nb Proies: 1069 | Nb Predateurs: 83
Iteration: 6 | Nb Proies: 907 | Nb Predateurs: 95
Iteration: 7 | Nb Proies: 164 | Nb Predateurs: 108
Iteration: 8 | Nb Proies: 19 | Nb Predateurs: 115
Iteration: 9 | Nb Proies: 2 | Nb Predateurs: 119
Iteration: 10 | Nb Proies: 4 | Nb Predateurs: 112
Iteration: 11 | Nb Proies: 3 | Nb Predateurs: 102
Iteration: 12 | Nb Proies: 4 | Nb Predateurs: 95
Iteration: 13 | Nb Proies: 3 | Nb Predateurs: 88
Iteration: 14 | Nb Proies: 2 | Nb Predateurs: 85
Iteration: 15 | Nb Proies: 4 | Nb Predateurs: 64
Iteration: 16 | Nb Proies: 6 | Nb Predateurs: 49
Iteration: 17 | Nb Proies: 10 | Nb Predateurs: 37
Iteration: 18 | Nb Proies: 11 | Nb Predateurs: 26
Iteration: 19 | Nb Proies: 14 | Nb Predateurs: 21
Iteration: 20 | Nb Proies: 16 | Nb Predateurs: 11
Iteration: 21 | Nb Proies: 20 | Nb Predateurs: 5
Iteration: 22 | Nb Proies: 25 | Nb Predateurs: 2
Iteration: 23 | Nb Proies: 33 | Nb Predateurs: 1
